Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_37_884.jpg;0;1;0;0.5336447;99.49265;85.3527;1.038038;233.2053;-0.0002946269
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_37_951.jpg;0;1;0;0.6109577;99.46931;85.32164;1.141983;233.1786;-0.0004104532
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_38_018.jpg;0;1;0;0.6510524;99.43595;85.27738;1.264294;233.1963;-0.001557022
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_38_084.jpg;0;1;0;0.6915911;99.41026;85.24334;1.243309;233.1868;-0.0005372835
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_38_151.jpg;0;1;0;0.7812327;99.38243;85.2065;1.209514;233.2135;-0.001047093
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_38_217.jpg;0;1;0;0.8255959;99.34263;85.1538;1.182863;233.0603;0.001428427
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_38_284.jpg;0;1;0;0.8726041;99.31001;85.11083;1.215029;232.9723;-0.001043412
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_38_351.jpg;0;1;0;0.9434639;99.27551;85.0654;1.244352;232.9827;-0.0006235352
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_38_418.jpg;0;1;0;0.9936931;99.22691;85.00145;1.25275;232.9717;-0.000770368
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_38_485.jpg;0;1;0;1.042261;99.18869;84.95116;1.231212;232.9768;-0.00106677
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_38_551.jpg;0;1;0;1.097751;99.14875;84.89864;1.214613;232.9706;-0.0003284297
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_38_619.jpg;0;1;0;1.150544;99.0926;84.8248;1.23019;232.914;-0.0005214823
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_38_688.jpg;0;1;0;1.208913;99.04866;84.76708;1.227214;232.8961;-0.0009073159
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_38_751.jpg;0;1;0;1.258662;99.00282;84.70695;1.229468;232.8595;-0.0008025452
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_38_817.jpg;0;1;0;1.305851;98.9389;84.62321;1.238047;232.821;-0.0008442056
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_38_884.jpg;0;1;0;1.352442;98.889;84.55791;1.239215;232.8041;-0.000745412
